time,H1,AVG_H1
2026-09-22 09:18:40,16,16
2026-09-22 09:25:46,27,22
2026-09-22 09:36:23,22,22
2026-09-22 09:51:36,35,25
2026-09-22 10:04:22,30,26
2026-09-22 10:16:09,30,27
2026-09-22 10:25:30,22,26
2026-09-22 10:36:30,6,24
2026-09-22 10:50:42,3,21
2026-09-22 11:03:04,3,19
2026-09-22 11:14:53,8,18
2026-09-22 11:23:57,11,18
2026-09-22 11:34:28,0,16
2026-09-22 11:55:40,4,16
2026-09-22 12:12:29,5,15
2026-09-22 12:26:39,12,15
2026-09-22 12:39:09,21,15
2026-09-22 12:53:53,16,15
2026-09-22 13:06:17,10,15
2026-09-22 13:17:36,8,14
2026-09-22 13:26:56,8,14
2026-09-22 13:40:38,19,14
2026-09-22 13:56:42,3,14
2026-09-22 14:11:27,3,13
