time,H1,AVG_H1
2026-09-18 09:18:24,64,64
2026-09-18 09:25:09,42,53
2026-09-18 09:30:47,24,43
2026-09-18 09:36:51,5,34
2026-09-18 09:51:57,25,32
2026-09-18 10:04:20,29,32
2026-09-18 10:16:21,25,31
2026-09-18 10:25:33,24,30
2026-09-18 10:36:25,16,28
2026-09-18 10:50:01,25,28
2026-09-18 11:01:49,31,28
2026-09-18 11:13:52,20,28
2026-09-18 11:22:46,21,27
2026-09-18 11:31:09,24,27
2026-09-18 11:52:47,46,28
2026-09-18 12:08:57,39,29
2026-09-18 12:23:06,36,29
2026-09-18 12:32:11,50,30
2026-09-18 12:49:04,35,31
2026-09-18 13:01:55,42,31
2026-09-18 13:14:36,39,32
2026-09-18 13:23:50,36,32
2026-09-18 13:33:20,39,32
2026-09-18 13:50:56,26,32
2026-09-18 14:04:15,39,32
2026-09-18 14:16:51,47,33
2026-09-18 14:26:46,53,33
2026-09-18 14:39:08,62,34
2026-09-18 14:53:41,65,35
