time,H1,AVG_H1
2026-09-17 09:19:49,93,93
2026-09-17 09:27:20,52,72
2026-09-17 09:37:10,80,75
2026-09-17 09:53:10,63,72
2026-09-17 10:06:34,95,77
2026-09-17 10:18:42,100,80
2026-09-17 10:28:28,88,82
2026-09-17 10:42:42,79,81
2026-09-17 10:56:46,58,79
2026-09-17 11:09:54,17,72
2026-09-17 11:21:31,55,71
2026-09-17 11:30:03,52,69
2026-09-17 11:51:51,77,70
2026-09-17 12:10:19,85,71
2026-09-17 12:24:58,97,73
2026-09-17 12:37:56,96,74
2026-09-17 12:54:35,91,75
2026-09-17 13:08:08,86,76
2026-09-17 13:20:24,78,76
2026-09-17 13:28:49,60,75
2026-09-17 13:45:27,53,74
2026-09-17 14:01:45,38,72
2026-09-17 14:15:07,53,72
2026-09-17 14:25:08,67,71
2026-09-17 14:36:31,74,71
2026-09-17 14:52:59,67,71
