time,H1,AVG_H1
2026-09-11 09:19:20,28,28
2026-09-11 09:26:56,50,39
2026-09-11 09:36:37,42,40
2026-09-11 09:53:14,38,40
2026-09-11 10:06:10,53,42
2026-09-11 10:17:59,71,47
2026-09-11 10:27:31,75,51
2026-09-11 10:40:35,75,54
2026-09-11 10:54:13,59,55
2026-09-11 11:06:11,56,55
2026-09-11 11:17:02,86,58
2026-09-11 11:26:07,86,60
2026-09-11 11:40:11,87,62
2026-09-11 12:00:12,73,63
2026-09-11 12:18:11,76,64
2026-09-11 12:29:50,70,64
2026-09-11 12:46:24,85,65
2026-09-11 13:00:59,88,67
2026-09-11 13:15:28,75,67
2026-09-11 13:25:26,75,67
2026-09-11 13:37:21,71,68
2026-09-11 13:54:15,61,67
2026-09-11 14:08:38,88,68
2026-09-11 14:22:00,88,69
2026-09-11 14:30:13,89,70
2026-09-11 14:46:32,88,70
2026-09-11 15:01:03,76,71
2026-09-11 15:14:43,74,71
2026-09-11 15:25:08,77,71
2026-09-11 15:31:49,61,71
2026-09-11 15:36:22,61,70
