time,H1,AVG_H1
2026-09-25 10:23:39,73,73
2026-09-25 10:28:19,64,68
2026-09-25 10:29:17,55,64
2026-09-25 10:37:51,20,53
2026-09-25 10:43:50,33,49
2026-09-25 10:57:29,33,46
2026-09-25 11:10:51,67,49
2026-09-25 11:22:22,58,50
2026-09-25 11:30:21,35,49
2026-09-25 11:52:22,47,48
2026-09-25 12:10:45,33,47
2026-09-25 12:25:23,32,46
2026-09-25 12:37:46,30,45
2026-09-25 12:53:52,25,43
2026-09-25 13:07:10,25,42
2026-09-25 13:19:17,21,41
2026-09-25 13:28:27,22,40
2026-09-25 13:43:46,26,39
2026-09-25 14:00:19,39,39
2026-09-25 14:15:33,67,40
2026-09-25 14:26:39,67,42
2026-09-25 14:39:17,86,44
2026-09-25 14:55:15,80,45
