time,H1,AVG_H1
2026-09-21 09:20:09,75,75
2026-09-21 09:27:47,67,71
2026-09-21 09:36:17,93,78
2026-09-21 09:52:46,78,78
2026-09-21 10:06:52,50,73
2026-09-21 10:19:36,48,68
2026-09-21 10:29:50,38,64
2026-09-21 10:45:32,55,63
2026-09-21 10:59:17,50,62
2026-09-21 11:12:20,78,63
2026-09-21 11:23:10,59,63
2026-09-21 11:32:39,71,64
2026-09-21 11:56:33,71,64
2026-09-21 12:15:20,74,65
2026-09-21 12:29:30,74,65
2026-09-21 12:46:10,67,66
2026-09-21 13:02:05,57,65
2026-09-21 13:16:33,62,65
2026-09-21 13:26:55,59,65
2026-09-21 13:40:43,61,64
2026-09-21 13:57:25,72,65
2026-09-21 14:10:59,77,65
2026-09-21 14:22:15,76,66
2026-09-21 14:30:40,76,66
2026-09-21 14:48:35,76,67
2026-09-21 15:02:39,65,66
2026-09-21 15:15:24,60,66
2026-09-21 15:25:10,54,66
2026-09-21 15:32:03,44,65
2026-09-21 15:36:19,44,64
