time,H1,AVG_H1
2026-09-14 09:20:43,61,61
2026-09-14 09:28:25,61,61
2026-09-14 09:37:03,61,61
2026-09-14 09:53:23,61,61
2026-09-14 10:07:45,61,61
2026-09-14 10:20:34,61,61
2026-09-14 10:29:56,61,61
2026-09-14 10:45:33,61,61
2026-09-14 10:59:10,61,61
2026-09-14 11:12:04,61,61
2026-09-14 11:23:30,61,61
2026-09-14 11:33:38,61,61
2026-09-14 11:57:57,61,61
2026-09-14 12:16:52,61,61
2026-09-14 12:30:27,61,61
2026-09-14 12:49:02,61,61
2026-09-14 13:04:10,61,61
2026-09-14 13:18:48,61,61
2026-09-14 13:29:00,61,61
2026-09-14 13:46:30,61,61
2026-09-14 14:03:02,61,61
2026-09-14 14:17:55,61,61
2026-09-14 14:29:26,61,61
2026-09-14 14:47:19,61,61
2026-09-14 15:03:41,61,61
2026-09-14 15:17:59,61,61
