time,H1,AVG_H1
2026-09-15 09:21:23,19,19
2026-09-15 09:29:12,17,18
2026-09-15 09:37:19,22,19
2026-09-15 09:54:25,0,14
2026-09-15 10:08:58,0,12
2026-09-15 10:22:58,3,10
2026-09-15 10:32:20,3,9
2026-09-15 10:49:24,3,8
2026-09-15 11:03:51,6,8
2026-09-15 11:18:06,9,8
2026-09-15 11:28:38,3,8
2026-09-15 11:47:54,7,8
2026-09-15 12:09:31,4,7
2026-09-15 12:25:14,4,7
2026-09-15 12:39:05,4,7
2026-09-15 12:57:03,4,7
2026-09-15 13:12:27,0,6
2026-09-15 13:25:46,0,6
2026-09-15 13:39:01,0,6
2026-09-15 13:57:07,0,5
