Strike price,09:24,09:31,09:39,09:50
22350,0,1,2,2
22400,0,1,1,2
22450,3,3,5,5
22500,0,1,2,3
22550,1,2,2,3
22600,0,1,1,1
22650,1,2,2,3
22700,1,1,1,1
22750,-1,-1,-1,-1
22800,-1,0,1,1
22850,0,0,0,0
22900,1,1,2,3
22950,0,1,0,1
23000,0,1,1,1
23050,1,1,2,3
23100,0,0,2,2
23150,1,2,2,2
23200,2,2,4,4
23250,0,0,1,1
23300,3,4,5,5
23350,6,9,13,13
23400,3,6,14,13
23450,15,24,36,37
23500,2,3,5,5
23550,4,6,12,14
23600,1,2,3,2
23650,0,0,0,1
23700,1,1,1,1
23750,-1,-1,-1,-1
23800,0,0,0,-1
23850,-1,-1,-2,-2
23900,-1,-1,-1,-1
23950,0,0,0,0
24000,1,1,0,0
24050,-1,-1,-1,-1
24100,-1,-1,-1,-1
24150,0,0,0,0
24200,-1,-1,-1,-2
24250,-2,-2,-2,-3
24300,-1,-1,-1,-2
